employee_id,first_name,last_name,gender,date_of_birth,email,phone_no,hire_date,department_id,job_id,salary,manager_id,status
1001,Nicole,Jones,F,1971-05-28,nicole.jones@company.com,6788190522,2014-03-26,101,1,147000,,active
1002,Misty,Mata,M,1987-12-28,misty.mata@company.com,6093383447,2013-01-23,101,2,137000,1001,active
1003,Kathryn,Flores,M,1987-02-25,kathryn.flores@company.com,6941855452,2013-12-29,101,3,111000,1001,active
1004,Gail,Tanner,F,2001-06-27,gail.tanner@company.com,6088762826,2018-02-24,101,4,57000,1003,active
1005,Albert,Shannon,M,1995-04-20,albert.shannon@company.com,7399066786,2019-06-30,101,4,82000,1002,active
1006,Todd,Patterson,M,1997-05-04,todd.patterson@company.com,7682758012,2023-02-14,101,4,58000,1003,active
1007,John,Hill,F,1996-09-03,john.hill@company.com,6939800302,2017-10-29,101,4,89000,1003,active
1008,Victor,Cook,M,1990-07-15,victor.cook@company.com,6324071203,2024-04-27,101,4,72000,1002,active
1009,Renee,Kidd,F,1994-09-13,renee.kidd@company.com,7352701793,2020-10-23,101,4,65000,1002,active
1010,Tanner,Adkins,F,1989-12-02,tanner.adkins@company.com,7460661225,2017-04-03,101,5,61000,1003,active
1011,Adrian,Phillips,M,1992-07-25,adrian.phillips@company.com,7289464389,2020-06-05,101,5,62000,1002,active
1012,Samantha,Ruiz,F,1993-06-25,samantha.ruiz@company.com,7655213583,2021-05-10,101,5,45000,1003,active
1013,Adam,Stanton,F,1990-01-18,adam.stanton@company.com,6192493466,2017-09-26,101,5,77000,1003,active
1014,Haley,Sanchez,M,2000-03-04,haley.sanchez@company.com,6234399440,2020-08-30,101,5,62000,1003,active
1015,Ryan,Walters,M,1970-12-14,ryan.walters@company.com,7651952201,2018-04-06,102,6,169000,,retired
1016,Jeremy,Davis,F,1985-02-12,jeremy.davis@company.com,6789810324,2017-06-08,102,7,84000,1015,active
1017,Michael,Jones,F,1971-07-31,michael.jones@company.com,7372957834,2021-07-24,102,8,128000,1015,active
1018,Susan,Gonzalez,F,2000-07-31,susan.gonzalez@company.com,6898317592,2017-08-11,102,9,46000,1017,on leave
1019,Bryan,Hanson,F,1992-09-16,bryan.hanson@company.com,6420511008,2023-10-27,102,9,86000,1016,active
1020,Wanda,Scott,F,1991-09-23,wanda.scott@company.com,7868060842,2018-02-26,102,9,60000,1016,on leave
1021,Logan,Wall,M,1996-12-04,logan.wall@company.com,6574383336,2018-07-06,102,9,43000,1017,active
1022,Melinda,Martin,F,1996-08-06,melinda.martin@company.com,6196072451,2019-10-10,102,9,87000,1016,active
1023,Michael,Smith,F,1990-08-14,michael.smith@company.com,6402675723,2019-10-03,102,10,79000,1016,active
1024,Courtney,Wright,F,1998-04-25,courtney.wright@company.com,6233161586,2018-03-05,102,10,54000,1016,active
1025,Jacob,Lee,M,2001-01-02,jacob.lee@company.com,6041919152,2023-06-14,102,10,73000,1017,on leave
1026,Angel,Christian,F,1989-11-07,angel.christian@company.com,6653523564,2019-02-03,102,10,62000,1017,on leave
1027,Tammy,Blair,F,1995-09-09,tammy.blair@company.com,7456896909,2021-12-08,102,10,54000,1017,active
1028,Kimberly,Sandoval,F,1973-02-03,kimberly.sandoval@company.com,6991190186,2011-11-21,103,11,169000,,active
1029,David,Diaz,M,1972-03-11,david.diaz@company.com,7842230408,2015-12-02,103,12,139000,1028,active
1030,Ryan,Travis,M,1982-08-27,ryan.travis@company.com,6102277599,2012-03-26,103,13,127000,1028,active
1031,Connor,Greene,F,2000-01-12,connor.greene@company.com,7171338924,2023-02-19,103,14,70000,1029,active
1032,Jessica,Garcia,M,1991-12-24,jessica.garcia@company.com,6806501634,2016-04-28,103,14,71000,1029,active
1033,Fernando,Arnold,M,2000-11-18,fernando.arnold@company.com,7313543133,2024-04-12,103,14,64000,1029,active
1034,Logan,Osborne,M,1991-10-19,logan.osborne@company.com,6640784802,2019-06-25,103,14,47000,1029,active
1035,Michael,Daniels,F,2002-04-08,michael.daniels@company.com,7217942470,2024-01-16,103,14,51000,1029,active
1036,Pamela,Hernandez,M,2002-01-14,pamela.hernandez@company.com,7143762389,2020-01-01,103,14,65000,1029,active
1037,Terri,Douglas,F,1998-02-23,terri.douglas@company.com,6664092133,2017-04-03,103,15,45000,1029,on leave
1038,Derek,Thompson,F,1994-09-30,derek.thompson@company.com,7476876563,2021-01-17,103,15,69000,1030,active
1039,Lisa,Farrell,M,1992-07-05,lisa.farrell@company.com,6630664908,2021-11-22,103,15,89000,1030,active
1040,Lauren,Zavala,F,1995-04-04,lauren.zavala@company.com,6271081331,2020-12-04,103,15,81000,1029,active
1041,Roberto,Harris,F,2000-06-05,roberto.harris@company.com,6645141896,2020-10-18,103,15,70000,1029,active
1042,Mary,Irwin,F,2000-11-17,mary.irwin@company.com,7716135711,2018-10-02,103,15,52000,1030,active
1043,Angela,Mercado,F,1966-02-12,angela.mercado@company.com,6222396242,2011-09-17,104,16,128000,,active
1044,Dennis,Hodge,F,1980-01-27,dennis.hodge@company.com,7879472372,2022-07-14,104,17,100000,1043,active
1045,William,Guzman,F,1976-02-17,william.guzman@company.com,6122034128,2024-01-25,104,18,83000,1043,active
1046,Brian,Yoder,M,1994-05-19,brian.yoder@company.com,7224338448,2016-06-02,104,19,58000,1045,on leave
1047,Bryan,King,M,1999-07-31,bryan.king@company.com,6960414644,2022-02-13,104,19,81000,1044,active
1048,Rebecca,Richardson,F,1992-01-12,rebecca.richardson@company.com,7246810387,2015-09-07,104,19,55000,1044,active
1049,Joseph,Barrett,F,1991-02-18,joseph.barrett@company.com,6527199693,2018-10-01,104,19,50000,1045,active
1050,Tyler,Duran,F,1991-01-22,tyler.duran@company.com,7696463119,2019-09-11,104,20,86000,1044,active
